correct,engMod,engNoun,modType,npoMod,response,suj,trial
0,blue,pencil,inner,kim2,red,ENG1001,0
1,three,mug,outer,jo1,three,ENG1001,1
0,red,pencil,inner,wun1,blue,ENG1001,2
1,two,scissors,outer,pem1,two,ENG1001,3
0,red,book,inner,wun1,blue,ENG1001,4
1,two,scissors,outer,pem1,two,ENG1001,5
1,two,pencil,outer,pem1,two,ENG1001,6
1,blue,mug,inner,kim2,blue,ENG1001,7
1,red,pencil,inner,wun1,red,ENG1001,8
1,blue,mug,inner,kim2,blue,ENG1001,9
1,three,pencil,outer,jo1,three,ENG1001,10
1,blue,scissors,inner,kim2,blue,ENG1001,11
1,three,book,outer,jo1,three,ENG1001,12
1,blue,pencil,inner,kim2,blue,ENG1001,13
1,three,book,outer,jo1,three,ENG1001,14
1,two,mug,outer,pem1,two,ENG1001,15
1,three,book,outer,jo1,three,ENG1001,16
1,blue,pencil,inner,kim2,blue,ENG1001,17
1,red,book,inner,wun1,red,ENG1001,18
1,red,book,inner,wun1,red,ENG1001,19
1,three,scissors,outer,jo1,three,ENG1001,20
1,red,mug,inner,wun1,red,ENG1001,21
1,two,pencil,outer,pem1,two,ENG1001,22
1,two,pencil,outer,pem1,two,ENG1001,23
