correct,correctNpo,engNoun,response,suj,trial
1,kipi2,pencil,pencil,ENG1002,0.0
1,kipi2,pencil,pencil,ENG1002,1.0
1,wato1,mug,mug,ENG1002,2.0
1,wato1,mug,mug,ENG1002,3.0
1,kipi2,pencil,pencil,ENG1002,4.0
1,monu1,book,book,ENG1002,5.0
1,monu1,book,book,ENG1002,6.0
1,monu1,book,book,ENG1002,7.0
1,kipi2,pencil,pencil,ENG1002,8.0
1,monu1,book,book,ENG1002,9.0
1,teno2,scissors,scissors,ENG1002,10.0
1,monu1,book,book,ENG1002,11.0
0,wato1,mug,book,ENG1002,12.0
1,monu1,book,book,ENG1002,13.0
1,teno2,scissors,scissors,ENG1002,14.0
1,teno2,scissors,scissors,ENG1002,15.0
1,wato1,mug,mug,ENG1002,16.0
1,kipi2,pencil,pencil,ENG1002,17.0
0,teno2,scissors,pencil,ENG1002,18.0
1,wato1,mug,mug,ENG1002,19.0
1,kipi2,pencil,pencil,ENG1002,20.0
1,teno2,scissors,scissors,ENG1002,21.0
1,wato1,mug,mug,ENG1002,22.0
1,teno2,scissors,scissors,ENG1002,23.0
